S. No.,text,task_1
324,"তুই যখন সিরিয়ালে কাজ করতিস তখন দেখেছিলাম সিরিয়ালে তুই একটা গাধার রোল করছিস, তোর ওই সিরিয়াল বৌ তোকে যেদিকে পিটিয়ে নিয়ে যাচ্ছে তুই সেই দিকেই যাচ্ছিস, আর আজও ওই গাধার মতোই পথ চলা অভ্যাসটা রয়ে গেছে",HOF
325,গানজা গানজা 🚬,NOT
326,"দেশের জন্য যদি ভালো কিছু এক সৈনিক করে, সে যদি বিজেপি বিরুদ্ধে কথা বলে সে একজন দেশ দ্রোহী",NOT
327,এসব নির্লজ্জ্ব মন্ত্রী কি করে এভাবে বেআইনি কথা বলতে পারে। দলের ছেলেদের কোটার চাকরি হয় প্রথম শুনলাম। মন্ত্রী হলে যা ইচ্ছা তাই করা যায় এই শিক্ষাটা নিলাম।,NOT
328,চট্টগ্রাম থেকে ঢাকায় আসার সময় পুরো পর্বটি শুনলাম এক নতুন রোদ্দুর কে চিনলাম খুবই সুন্দর একটি পর্ব পরেরবার চন্দ্রিল ভট্টাচার্যকে আনার অনুরোধ রইলো,NOT
329,এই হলো শিক্ষা মন্ত্রী চোর চোর চোর তৃণমূলের সবাই চোর,HOF
330,A B P Ananda এত অর্থের দরকার যে এইসব Post করছেন😢 এইগুলো না দেখিয়ে যারা অর্থের অভাবে খেতে পারছেনা তাদের দ‍েখান সুমনবাবু🙏,NOT
331,"সময় মতো ঈশ্বরের কাছে থেকে বিচার পেয়ে যাবি অপেক্ষা কর,,,মাফ চাওয়ার সুযোগ পাবি না।",HOF
332,সবকটা চরিত্র বান ও চরিত্রবতী.......,NOT
333,লজ্জা থাকলে এই সব সামনে বসে শোনা কতোটা কষ্টের ?,HOF
334,ও ঝাপ দেবে না সিয়ানা পাগোল 😀😀 ওকে রদূরে বসে থাকতে দেন ঠিক একা একা নেবে আসবে 😀😀,HOF
335,এই পাঁঠার অধীনে অনেক পাঁঠি আছে। ইডি সেই পাঁঠিগুলোকে বার করে জেলে ঢোকাক।,HOF
336,শোভন বাবু আপনার বাগানে বাজপাখি এসেছে পজাপতি আগলে রাখুন নইলে ছো মেরে নিয়ে যাবে কিছুই করতে পারবে না কিন্তু।,NOT
337,"চোর, চিটিংবাজ, লম্পট, চরিত্রহীনের সহবস্থান গুলো থেকে ABP আনন্দ বেরোতে পারছে না।",HOF
338,সামনে কলেজে মদ মাখা শুরু করো.,NOT
339,দেখো বাংলার ভাই বোনেরা,NOT
340,"সাবাশ,,, আল্লাহ তোমাকে আরো উচিত কথা বলার তৌফিক দান করুক",NOT
341,"এই বাচ্চা মেয়ে তার বাচনসইলি আমাকে অভিভূত করেছে,,সত্যি মেয়েটা কৃতি স্থান অধিকার করার জায়গা রাখে,, তুমি আর ও অনেক বড়ো হও,",NOT
342,এইসব দুশ্চরিত্র প্রিন্সিপাল কলেজের কত কোটি টাকা লুটেছে তদন্ত করলেই বেরিয়ে আসবে l,HOF
343,"সেলুকাস বিচিত্রর দেশ,,🤪🤪🤪🤪🤪",NOT
344,"লোকটা এই জিনিসটা যদি এনজয় করতো, তাহলে এমনটা হতো না। আসলে সবকিছু আমাদের ভাবনার ওপর নির্ভরশীল। ওনার উচিত ছিলো ভিডিও করতে আসা ইউটিউবার দের বলা যে 5000 টাকা ফেলে তারপর ভিডিও করা বা ইন্টারভিউ নেওয়া যাবে। তা না করে, মাথা গরম করে নিজে অসুস্থ হয়ে পড়লো, বিষয়টাকে এনজয় করলে এমনটা হতো না।",NOT
345,"আমাদের টিভি চ্যানেল গুলো কী কানা? নাকী সবাই বিকিয়ে গেছে? কুস্তি গীর দের কোনো খবর করেনা,",HOF
346,"ঠিক এই রকম বাজে মন্তব্য যদি কোনো হিন্দু ব্যাক্তি মুসলিমদের বলতো, তার কয়েক ঘণ্টার মধ্যেই তাকে গ্রেফতার করা হতো। কিন্তূ এই মেয়েটির কোনো প্রকার শাস্তি এখনও হলো না। তাহলে বুঝতেই পারছো আগামি দিনে হিন্দুদের আর কি কি সহ্য করতে হতে পারে। দেখা যাবে আর কয়েক বছর পর নিজেদের অস্তিত্ব টিকিয়ে রাখার জন্য শেষে হিন্দুদের দেশ ছাড়তে হচ্ছে। এখনও সময় আছে, (জাগো হিন্দু জাগো)",HOF
347,কুশিক্ষা মন্ত্রী,HOF
348,যাদের মা একটা আর বাপের ঠিক ঠাকে না তাদের কাছে এর থেকে ভালো কিছু আশা করা যায় না। ওর সাজাহান বাপ তাজমহল বানিয়ে গেছে ওর মা ওকে জানায় নি।,HOF
349,ওই চেয়ারে বসার যোগ্য ব্যক্তি নন।,HOF
350,কেরেলা স্টোরি তে আপনাদের খুব কষ্ট হয়েছে বুঝতেই পারছি ---কুস্তি বীররা বা খেলোয়াড়রা ধণা দিয়েছিল এতে কারোর মাথা বেথা নেই--গনতন্ত্রিক মতে ধণা দিতেই পারে ।। কিন্তু যেখানে নতুন সংসদ ভবন উদ্ধাঘাটন অনুষ্ঠানের জন্য 144 ধারা লাগু করা হয় --সেখানে রোড চেঞ্জ করে অনুষ্ঠানের দিকে এগিয়ে যাওয়া --এটা কি গনতান্ত্রিক ধণা????,HOF
351,সত্যি প্রকৃত শিক্ষিত মানুষের ক্ষত্রে এ রাজ্যের ভবিষ্যৎ দেখে হার্ট এ পেশমেকার বসাতে হচ্ছে।,NOT
352,খালি গায়ে বাবা তার মেয়ের পিঠের ওপর শুয়ে পরেছে .. আহ...কি...মধুর সম্পর্ক......♀️♂️♀️♂️♀️♂️,HOF
353,"এই বয়সে এত পরিণত চিন্তাভাবনা ও বাচনভঙগী ভীষণ আশা দেখাল।এগিয়ে যাও,অনেক শুভেচ্ছা রইল।",NOT
354,"সেই দিন টা কবে আসবে? যেদিন দেখবো, সাধারণ লোকজন এদের জুতিয়ে লম্বা করবে.....🤔🤔",HOF
355,"ওই কথা টাই ঠিক বলেছেন, দুজনেই খুব flamboyent, মানে দুজনেরই চরিত্রের দোষ আছে।",HOF
356,ক্ষতি কী? পরকিয়া তো আইন সম্মত! কে কী খাবে? কে কোন দেবতাকে ডাকবে? কে কাকে ভালোবাসবে? কে কোন ড্রেস পরবে সেটা তার ব্যাক্তিগত ব্যাপার! তাতে আমার বাপের কী?,NOT
357,পুরো শেষ পশ্চিমবঙ্গ.....,NOT
358,যারা আন্দোলন করছে এরা সবাই হিন্দু। আর বিজেপি নিজেদের হিন্দুবাদী সংগঠন বলে দাবি করে। অথচ বিজেপি বা প্রধানমন্ত্রীর কোনো রকম সাপোর্ট এরা পেল না। এখান থেকেই বোঝা যায় বিজেপির হিন্দু প্রেম আসলে শুধু ব্রাম্ভন্যবাদ। অন্য জাতির সবাইকে এরা পায়ের নীচেই রাখতে চায়।,HOF
359,যেখানে এই ধরনের রুগী থাকে সেখানে ঘরে জানালার গ্রীল লাগানো থাকেনা কেনো?,NOT
360,এই লোক গুলোকে উলঙ্গো করে পিপড়ের উপরে বসানো দরকার....!!🤣🤣🤣,HOF
361,"বাবা মেয়ের সম্পর্ক মধুর। সেটা আর কালিমালিপ্ত না করলেও চলবে। মেয়ে মেয়েই থাকে, কিন্তু সেই মেয়ের যখন বয়স হয় তখন.........!! যাক ওনার নিজের মেয়ের সাথে ওই রকম ছবি আছে কি ??",NOT
362,একজন শিক্ষিকা যদি সমাজে এই উদাহরণ তুলে ধরেন তবে সমাজ কোন পথে টা আর বলার অপেক্ষা রাখে না। A B P ...... আনন্দ ! আপনাদের কে ধিক্কার জানাই এমন বিষয় কে সংবাদ হিসাবে তুলে ধরার জন্য,HOF
363,দিল্লির আন্দোলনরতের এই ভাবে তুলে দেওয়ার কায়দা যদি কোলকাতার আন্দোলনরতদের উপর হয়!!!!!!তিনটি দলের নেতারা কী বলবে?????? দিল্লির ঘটনা নিয়ে তাদের সেরকম কিছু বলতে শোনা যাচ্ছে না। শুধু তৃণ আর এস ইউ সি মাঠে নেমেছে।।।,NOT
364,"কাকু হিরো আলম কে মাখা টা শিখিয়ে দাও। বা***-***আ ,মাখাতে আর দেখতে সব নেট শেষ।",HOF
365,নেতা মানার আগে নেতা চিনে নিন আর খবর শোনার আগে চ্যানেল চিনে শুনুন। ভারামির সীমা থাকা উচিত।,NOT
366,"ভাইরালের মধ্যে প্রচুর ভাইরাস,,,, সাবধানে কাকু,,",NOT
367,"ওরা হলো সেই মহাপুরুষ, যাদের জন্য এই সোনার বাংলার এই অবস্থা।।",NOT
368,"পশ্চিমবঙ্গের বাঙালি হিন্দুদের জন্য ভালো দিন আসতে চলেছে৷ পশ্চিমবঙ্গ যে বাংলাদেশ হতে আর বেশি দিন বাকি নেই এতো তারই আভাস৷ কিছু তো বলা যাবে না এদের ওপর আবার এদের মমতাময়ী মায়ের হাত আছে৷ প্রতিবাদ করলেই তুমি সাম্প্রদায়িক ,বিজেপি, আর এস এস এর দালাল আরো কত কি বলবে ৷ আর সমস্ত লিবারেল সেকু মাকু এই বেলায় চুপ থাকে।",NOT
369,আবার কী হলো? মাঝে মাঝেই চাগিয়ে ওঠে আবার বসে পড়ে। কেনই বা ওঠে কেনই বা বসে কে জানে!,NOT
370,বাবা মায়ের দেওয়া নাম যথার্থ সার্থক ۔۔۔যারা হয়তো একটি পঙ্গু শ্রেণীকে বুদ্ধি জিবি ভেবে তাদের কাছ থেকে অনুপ্রেরণা চায় ۔۔তার থেকেও এই বয়েসে সমাজ সংস্কৃতি সন্মোধ্যে যে পারিপার্শিক জ্ঞান অনুভব করে বলতে শিখেছে এদের কাছে আমি মনে করি তথাকথিত লুকিয়ে থাকা ছাতা বদল মানুষ গুলি নগন্য ۔۔,NOT
371,শিক্ষামন্ত্রী নিজে অশিক্ষিত নিজে সিকার করল।,HOF
372,আরে পড়াশোনা না করে সুগার ড্যাডি বানিয়েছে। 😂😂😂😝😝,NOT
373,"এরা হচ্ছে অপদার্থ বুদ্ধি বিচি, জিবি।",HOF
374,যে নারী নিজের ধর্ম সম্বন্ধেই অজ্ঞ সেই নারীর মুখে নিজের ধর্মের সম্বন্ধে মন্তব্য সোনা নেহাতই হাস্যকর। যা মন্তব্য এ করছে তা কোনো ধর্মীয় শিক্ষা নয়.... এত অন্যায় কথা বলে এ নিজের ধর্ম এবং নিজের ধর্মীয় শিক্ষার অপমান করছে।😂,NOT
375,"অসাধারণ। ভানু, জহর, রবি, অনুপ কি এনার কাছে পাত্তা পায়! একেবারে হাতে গরম।",NOT
376,যাই হোক আমরা গরু কে রুটি খাওয়ানো লোক আর তোমরা রুটির সঙ্গে গরুর মাংস খাওয়া লোক এটাই পার্থক্য আমাদের আর তোমাদের মধ্যে আর কিছু বলার নেই । জয় শ্রী রাম,HOF
377,একজন মহাপুরুষের কথা মনে পরেগেলো যে ..যখন তোমাকে কেউ পেছন দিক থেকে টেনে ধরে নামাবার চেষ্টা করবে বা তোমাকে নিয়ে বেশি কাটাছেরা করবে তখন তুমি যানবে তুমি ঠিক দিকেই যাচ্ছ।,NOT
378,"মূর্খ লোককে কিছু বোঝানো বৃথা,,,প্রথমত সে নিজের ধর্মকেই সন্মান করতে পারে না,,,,পৃথিবীতে কোনো ধর্মেই বলা নেই অন্যের ধর্মকে অপমান করা,,,,,আর হা কি বলে আমরা কালিমা কে দেখেছি কিনা,, আপু তুমি কি আল্লাহকে দেখেছিলে,, বেয়াদব কোথাকার আসিও সব বুঝে দিব সনাতন,পুরাতন, চির সত্য,,,,",HOF
379,ক্লাস নিলে আপনাদের সমস্যা কি🤣🤣🤣 মা বউয়ের সামনে🤣🤣🤣🤣,NOT
380,চপ শিল্পের পর আম মৃষ্টি শিল্প এর পর পাটালি শিল্প,NOT
381,চাকরি করার জন্য শিক্ষার যোগ্যতার কোনো প্রয়োজন নেই আমাদের রাজ্যে। এই কথাটা কে বলছে আমাদের শিক্ষা মন্ত্রি 😁😁,HOF
382,"তোমার মেয়ের সঙ্গে হয়েছে তুমি তো এখন দোষ ঢাকতে চাইবে, খালি গায়ে মেয়ের সঙ্গে সত্যি খুব ভাবার বিষয়",NOT
383,বাদরের গলায় মুক্তো হার দিলে যা হয়।,HOF
384,এটা পশ্চিমবঙ্গে লজ্জা আছে এইরকম একজন শিক্ষা মন্ত্রী আমরা পেয়েছি। যখন মন্ত্রী বলছে কারো পা চাটে চাকরি পাওয়া যায় কি হতে পারে??,HOF
385,"আমি এত দুর পড়াশোনা করেছি, কিন্তু কখনো এরকম পরিস্থিতি আসে নি আমি কেন, কোনো অন্য ছাত্র/ছাত্রী কেও দেখি নি যে প্রিন্সিপালের মত এত বড়ো পোস্টের মানুষ, কলেজের এত student এর মধ্যে একজন কে বেছে নিলেন যার সাথে পোশাক হীন ভাবে ছবি তোলা যায় ?",NOT
386,"সনাতন ধর্মে,,, নারী কে দেবীর সম্মান দেওয়া হয়ে থাকে।,,, সেটা হোক কারো,,মা,, বোন অথবা বউ,,,আর ইসলাম তো শান্তির ধর্ম,,, কিন্তু তবুও কোনো নারী কে,,, নিজের ধর্মের প্রতিষ্ঠানে প্রবেশ নিষেধ,, করা হয়েছে।,,,তাই অন্য ধর্মের কোনো নারী কে,,, গালাগালি দিয়ে নিজের,, পাপের বোঝা বাড়িয়ে ভুল করবো না।,,, ভুল ত্রুটি হলে সবাই ক্ষমা করবেন 🙏😊😌",NOT
387,তোর পুটকিতে ভরবো চাকরি,HOF
388,অপদার্থ শিক্ষা মন্ত্রী।,HOF
389,ভোঁদাংশুর কপালে ফুল চন্দন পড়ুক। ওর ঐ কথাটা যেন সত্যি হয়…🥴,HOF
390,এগুলো জর্জ সারসের টুল কিট। সুপ্রীম কোর্ট খোলা আছে।শুধুই রাজনীতির প্রপাগান্ডা।CAA এবং কৃষি আন্দোলনের ধাঁচে আরো একবার নাটক।,NOT
391,"ওই চাকরির বেতন টা সাধারণ মানুষের করের টাকা,কোনো পার্টির বাপের টাকা থেকে দেওয়া হয়না।",NOT
392,এবার অন্তত ভোটটা বুঝেশুনে দিন।কারণ আপনার ঘরের ছেলেমেয়েদের নিশ্চয় চাকরির জন্য পড়াশুনা ছেড়ে দেওয়ালে লিখতে পাঠাবেন না।,NOT
393,প্রেরণা বড় বিপদে ফেললে পরের বার থেকে মেরিট লিষ্ট প্রকাশ হবার আগে পুরো পরিবার এর মেরুদণ্ড বিচার করা হবে। চল পশ্চিম বঙ্গে এমন মেয়ে আছে জেনে মন ভালো হল,NOT
394,পশ্চিমবঙ্গের বঞ্চিত বাঙচোত আমরা সাধারণ জনগণ এই দেখে কতো আনন্দ পাচ্ছি,HOF
395,"চাকরিটা কী মন্ত্রীর পৈত্রিক সম্পত্তি যে উনি ন্যায্য কোটার চাকরি বলে নির্লজ্জভাবে গলা ফাটাচ্ছেন? উনি রাজ্যের শিক্ষামন্ত্রী, ভাবতেই শিউরে উঠতে হয়।",HOF
396,দু পয়সার মিডিয়া এই পোষ্টের মাধ্যমে নিজেকে প্রমাণ করেছেন সত্যি তার এই নামের যোগ্য ।,HOF
397,তোর বাপের চাকরি আগামী নির্বাচনের পর দিস,NOT
398,ন্যাকামোর একটা লিমিট থাকে লজ্জা করে না দুটো জেলে আর এরা তিনটে বাইরে রঙ্গ দেখাচ্ছে।,HOF
399,এগুলো কি কুরুচিকর ঘটনা...তাও আবার এবিপিপ্রচার করছে..চ্যানেলটার জঘণ্য পরিস্থিতি,HOF
400,এবার মদনের কাছে যা।এত সস্তা নিজেকে করতে পারে মহিলা।,NOT
401,"অন্য কোনো দলকে ভোট নয় সব ভোট আমাকে দাও নাহলে ওরা ক্ষমতায় চলে আসবে আর তোমাদের অবস্থা খারাপ হয়ে যাবে .....সাম্প্রদায়িক ইস্যু কে জাগিয়ে ভোট লুট করা আর কতদিন??(ভোট নেওয়ার সময় সাম্প্রদায়িক ভাই বোনদের মাথায় *আজগুবি উস্কানি মূলক* ভুলভাল বুঝিয়ে ভোট নেওয়া কিন্তু ভোটের পরে তাদের আর ফিরেও তাকায় না, তা স্পষ্টভাবে বোঝা যাচ্ছে কারণ এত দুর্নীতি এত *কোটি কোটি* টাকা তছনছ হয়েছে, এত টাকা চুরি হয়েছে, এত লুট টাকা লুট হয়েছে কিন্তু দুঃখের ব্যাপার কোন সাম্প্রদায়িক বন্ধু অর্থাৎ মুসলিম বা আদিবাসী কিংবা অন্য সম্প্রদায়ের ভাইবোন দের নাম আজ পর্যন্ত চুরির খাতায় নেই, বা টাকা লুট সময় তাদেরকে আর তাকাইনি, ভোটের রাজনীতির পর তাদের কে ভুলে যায়,,,) এই ভাবে আর কতদিন ভোট হবে । *আই ওয়াশ ও ব্রেন ওয়াশ* করে আর কতদিন বোকা বানানো চলবে....*রাজ্যের শিক্ষিত যুব সমাজ তা জানতে চাই আর কতদিন চোখের জল ফেলবে .....**অযোগ্য মাটিমাল দের* জন্য এত কান্নাকাটি..যোগ্যরা আজ পথের সাথী,,*এতো চুরি দুর্নীতির শেষ কোথায় ?**উন্নয়ণ বলতে কি শুধু রাজ্যের কোষাগার ফাঁকা করে *ভাতাশ্রী* ও অনুদান দিয়ে পরোক্ষভাবে ভোট কিনে আর কতদিন ক্ষমতায় থাকবে ?*রাজ্যের উন্নয়নের ৮০% টাকা ঘুরপথে *নেতাদের পকেটে চুরি ও দূর্নীতির* কারনে ঢুকে যাচ্ছে।*কবে *দূর্নীতিমুক্ত ও চোর মুক্ত* সমাজ ফিরে আসবে জানতে চাই সাধারণ মানুষ ....*এই ভাবে আর কতদিন...কতদিন....*কতদিন....*???",HOF
402,প্যারাসিটামল আর হাগার ওষুধ মেখে দিন এক প্লেট করে দু বার,HOF
403,"তার মানে তোরা বলছিস যে সরকারি চাকরিগুলো তোদের পৈত্রিক সম্পত্তি,, বাংলার সব থেকে লজ্জিত শিক্ষামন্ত্রী।",HOF
404,এতো উচ্চ মানের কথা সকলের বোধগম্য হবার নয় তাই তারা বিরুপ মন্তব্য করেছে...তুমি এগিয়ে যাও লক্ষে ...উন্নতি কর নিজের দেশের সমাজের...অনেক শুভেচ্ছা তোমায়....,NOT
405,আমাকেও দেওয়াল এর লিস্ট দিন দাদা .... আমিও লিখবো - আমি পড়াশুনো তে ভালোই ছিলাম - কিন্তু হাতের লেখা টা ভালো নয় - গ্রুপ - ডি - পাবো দাদা .... ও দাদা গো 🤔,NOT
406,এই রকম দুঃসাহস কোথা থেকে পাই এরা। এটা কখনো ইসলামের শিক্ষা নয়। আজ যদি সামাজিক এবং ধার্মিক শিক্ষা তার মধ্যে থাকত তাহলে কোনো ধর্মকে নিয়ে এই রকম বাজে মন্তব্য করতে পারত না। অতি তাড়াতাড়ি আইনি হেফাজতে নেওয়া হোক এবং কঠোর শাস্তির দাবি রাখছি।।,HOF
407,"সাংবাদিক মহাশয়কে খুব সাদামাটা লাগছে। ওনাকেও সংবাদ সংস্থার পক্ষ থেকে একটি ঝাকানাকা ড্রেস দেওয়া উচিত ছিল। সুন্দর সাদা ভাতে ঘি, মাছের মাথা দেওয়া সোনা মুগডাল মেখে গ্রাস তুললে পরম তৃপ্তির সাথে খেতে থাকলে হঠাৎ যদি কাঁকড় পড়ে ওনাকে তেমনি লাগছে। সুজলা সুফলা বাংলার সর্বাপেক্ষা বড় সংবাদ সংস্থা গোষ্ঠীর সাংবাদিক যিনি কিনা বাঙালি জাতির সর্বকালীন সেরা জুটি এবং 'সেরা ক্রাশের' সাক্ষাৎকার নিচ্ছেন তার এরকম পিছিয়ে পড়া পরিচ্ছদ দেখলে ভাল লাগে না । আশাকরি আগামী দিনে পরিধানের দিকে আপনারা বিশেষ খেয়াল রাখবেন।",NOT
408,বাংলার কৃষ্টি-কালচার কোন জায়গায় নামছে এদের দেখলেই বোঝা যায়।,NOT
409,অপদার্থ যেমন মুখ্যমন্ত্রী,HOF
410,"বেঁচে গেছি কলেজে যাইনি, এগুলো দৃশ্য দেখে কি হতো আমার কলেজের প্রিন্সিপালের সাথে ছাত্রী🤣🙏",NOT
411,"Oh lovely👌😊😊পাগলাচোদার দল, খানকির ছেলে।",HOF
412,কোথায় বাস করি আমরা ভাবতেই ঘের্ণা লাগছে,NOT
413,দেবাংশুর রাগ হওয়ারই কথা।,NOT
414,সরকারের মদত পুষ্টদের বিরুদ্ধে কথা বললেই দেশবিরোধী হয়ে যায়।,HOF
415,দাদা তুমি খুব সুন্দর বক্তব্য দিতে পারো এর সঙ্গে সঙ্গে কবিতাটা তো লিখতে পারো। এরপর যাতে একাডেমী পুরস্কারটা তুমিই পাও আশা করব।,NOT
416,"চলচ্চিত্র অভিনেতা হয়ে, আপনার মাথায় গোবর ভরে গেছে, আপনি একজন মূর্খ রাজনৈতীক দলাল, আর শিক্ষিত যুবসমাজের মধ্যে পার্থক্যটা বোঝার ক্ষমতা হারিয়েছেন, এই আপনি শিক্ষামন্ত্রী,, মানে জানেন না হুজুকে মন্ত্রী?",HOF
417,এখন মারা গেছেন,NOT
418,বাবা!- গল্পের আড়ালে লুকিয়ে থাকা এক মহা নায়ক। তিনি তার দায়িত্ব পালন করছেন। বাবার তুলনা হয় না। 💔💔,NOT
419,মমতা প্রধানমন্ত্রী হবে আর দেবাংশু বাচ্চা প্রসব করবে এক ই ব্যাপার😂,HOF
420,আমাদের পারার কুকুর এনার থেকে শিক্ষিত 😡😡,HOF
421,ইসলাম কাউকে বাধ্য করেনা।যার ইচ্ছে সে বের হতেই পারে। ব্যবসায়িক মুনাফা আর রমজানের আধ্যাত্মিক যোগ পুরোপুরি উল্টো।,NOT
422,এরা মোদির বিরোধীতা করতে করতে কবে যে দেশ বিরোধী হয়ে গেছে নিজেরাও জানেনা,HOF
423,মোদীর জামানাই মুখ খোলা বন্ধ। মুখ খুললেই দেশ বিরোধী তকমা। মনে হয় জানো ওনার পাপ দেশ স্বাধীন করে গেছে। যা ইচ্ছা তাই করছে। ওদিকে আবার গোসাই দের নিয়ে নতুন সংসদ ভবনের সূচনা সম্পূর্ণ হলো। যার কোন দরকার আছে বলে মনে হয় না। দেশের জনগণ জাহান্নামে যাক। ওনারা নতুন সংসদ ভবনের হাওয়া লাগাক। জাতি ধর্ম নির্বিশেষে সকল মানুষের সমান অধিকার আছে এটা ওনাদের কথা। আবার মাননীয়া রাষ্ট্রপতি আমন্ত্রণ পেলেন না। কি আশ্চর্য রাজনীতি। সত্যি এরা দাম পেলে বাবা মা কে বেঁচে দেবে। ধন্য এরা।,HOF
424,আহারে পার্থ বেচারাটা,NOT
425,"দাত খুলে গেলো বা""""""""""""""",HOF
426,"দিদি, মূখখ মন্ত্রী কার ? , ব্রাত্য বাবু, আপনি শিক্ষা মন্ত্রী পশ্চিম বাঙলার ? নাকি T m c - এর ?????? তোমাদের আনা, গেল বাঙলা চোদ্দ আনা ।",NOT
427,এবার মনে হচ্ছে শোভনের ঘরটা ভাঙলো।,NOT
428,"মিথ্যা কথা, কালকেও দেখলাম উনি মাখাচ্ছেন",NOT
429,যখন বাংলাদেশে হিন্দুদের ওপর আক্রমণ হয় তখন আপনারা কোথায় ছিলেন। পা চাটা ব্যাবসা বন্ধ করুন।,HOF
430,চাপি চাপি চটি চাটি।। ঠিকই বলেছেন আপনি চটি ছাড়া লোক হলে এটাই হবে।। আপনার জন্য মনে যতটুকু সম্মান ছিল চটি চাটার জন্য সে সম্মানটুকু বেরিয়ে গেল,NOT
431,আমি অর্নিবাণের প্রায় সব ইন্টারভিউ দেখি বা শুনি। কিন্তু এই কথোপকথন টা এত সুন্দর ভাবে আপনি উপস্থাপন করেছেন সত্যিই দুর্দান্ত। এত সুন্দর সুন্দর প্রশ্ন করেছেন আর অর্নিবাণ এত সুন্দর ভাবে উত্তর দিয়েছেন এক কথায় অনবদ্য।,NOT
432,চারিপাশে উন্নয়ন দাড়িয়ে আছে,NOT
433,পেছনে ঘুরলে চাকরি পাওয়া যায় তবে শিক্ষার দরকার কি। যাই বলেন শিক্ষার একটা দাম হওয়া দরকার।,NOT
434,লেখাপড়া বন্ধ করে ওর সঙ্গে পার্টি করুন সবাই চাকরি পেয়ে যাবে। এটা নাকি একটা মূর্তি যোগ্যতা আছে,NOT
435,এসব শুনে একটি কথাই মনে পড়ছে। রাজ মাতা মূর্খ মাতা। বাহুবলি,NOT
436,যাক যাক অনেক বুঝলাম কোন বউকে আবার গল্প করছে বাবা মেয়ে,NOT
437,আর তুই আমার বড়ির পালিত ষাড়ের বীজের পুত্র ' যাকে আমি ৩০ বছর আগে জবাই করে খেয়েছি🤪🤣,HOF
438,এর থেকেও বেশি আর কি আশা করা যায়।,NOT
439,"আমরা কলেজের প্রিন্সিপাল কিংবা প্রফেসর ম্যাডামদের সঙ্গে ঠিকমতো কথাই বলতে পারিনি ক্লাস করতে বললে বলতো কয়জন ছেলেকে জোগাড় করো, তবেই ক্লাস করব",NOT
440,"জানালা দিয়ে মোবাইল টি ফেলে দিন,বলুন ফোন টি কুড়িয়ে দেওয়ার জন্য।",NOT
441,আপনি যার কথা বললেন সেই কর্মীগুলো কিন্তু একজনও চাকরি পায়নি চাকরি পেয়েছে নেতাদের চৌদ্দগুষ্টি আর যাদের টাকা আছে,NOT
442,"লুম্পেন এর দল ,,,,, এর চাইতে ভালো ভাষা খুঁজে পেলাম না",HOF
443,এ ফেডারেশন তুই চুপ কর। তোরা কেমন হোস সেটা ভালো করেই জানা আছে। পকেটে টাকা গুছিয়ে পভরেছিস.... বালি পাট্টা নিয়েছিস কলেজে পাটি করে কতো আর ধামাচাপা দিবি,HOF
444,আইনি ভাবে পদক্ষেপ নিলে আপনাদের মুখ টা যেটুকু আছে সেটুকু থাকবে তো ?,NOT
445,আমার বিদেশি বউ নেই না হলে আমিও রাখতাম আলু চপস,NOT
446,দেদে৷৷ এগিএ৷ বংলা৷ সব বেচে দে,NOT
447,আপনি ওই রাবিশ খেয়ে দেখেছেন ?,NOT
448,"তা বলেএকে বারে মুর্খ ছেলেকে, যোগ্য কেউ ছিলোনা, আমি এইট পাস কিন্তু সাইনবোর্ড লিখতে বা দেওয়াল লিখতে পারি। সরকারী চাকরি পাবো সেই রকম একটা চাপরাশির, ইস্কুল টিচার তো নয়।",NOT
449,তাহলে শেষের শুরু-'আঠার বছর বয়স ভয়ঙ্কর'...salute জানাই।আগামী।,NOT
450,এরা কংগ্রেসের প্রার্থী হয়ে যাবে। মোদী বিরোধী করতে করতে দেশ বিরোধী উপরে চলে গেছে,NOT
451,এক সাথে এত লোক এসে ওনা কে বিরক্ত করছে ইচ্ছে করে সবাই মিলে এক সাথে আসে ওনার কথা গুলো কে ইচ্ছে করে বাজে ভাবে দেখায়,NOT
452,"এবার আমি একটা বই লিখব বইটির নাম,,,,,দিদির দেওয়া ঘরোয়া ব্যবসার টোটকা,,,,",NOT
453,এগুলো দেখিয়েই নিজেদের চ্যানেল বাচিয়ে রাখতে হচ্ছে এবিপি কে।,NOT
454,"খুব তাড়াতাড়ি দেবাংশুর ভাই হচ্ছে,তাও আবার যমজ।",NOT
455,তাহলে Cpm এর সমালোচনা করেন কি করে। এ সব বলবেননা জেলে যেতে হবে। নিজের টা নেজ্যো অন্যের বেলায় চুরি। নেজ্য কোটা রেট কতো।,HOF
456,মন্ত্রীর চাকরির কোটা থাকে নাকি ! হায়রে এ কেমন শিক্ষামন্ত্রী !,NOT
457,চপের ভেতরে রসগোল্লা নিগড়ে দিলে কেরম হয়.??,NOT
458,অবাঞ্ছিত মিডিয়ার জন্য এই অবস্থা।,HOF
459,এদের জন্ম কেনই বা হয় বুঝে আসে না পুলিশের উচিত শুধু এই মেয়ে কে নয় সাথে সাথে পুরো পরিবার কে অ্যারেস্ট করা,HOF
